age,daily,drawdown,gain,link,monthly,name,pips,price,profit_factor,rank,trades,type,won
1.52, 0.10%,2.3%,4.65%,https://www.signalstart.com/analysis/poetic-brains-dax/136337, 2.98%,Poetic Brains DAX,280,$59, 1.78,121,28,Real, 50%
14.0, 0.01%,50.5%,4.58%,https://www.signalstart.com/analysis/millionaire-gbpcad/63391, 0.30%,Millionaire GBPCAD,711.4,$35, 0.99,434,868,Real, 65%
4.23, 0.03%,16.8%,3.98%,https://www.signalstart.com/analysis/edenbridgefx/111305, 0.92%,EdenBridgeFX,"1,438.4",$75, 1.14,281,433,Real, 70%
10.59, 0.01%,3.8%,3.94%,https://www.signalstart.com/analysis/fx-bsr/66381, 0.36%,FX BSR,115.2,$75, 1.16,242,150,Real, 63%
2.3, 0.05%,21.8%,3.81%,https://www.signalstart.com/analysis/blues/130520, 1.63%,Blues,"-10,990.2",$99, 1.15,266,1483,Real, 82%
1.39, 0.08%,3%,3.37%,https://www.signalstart.com/analysis/black-daimond/108883, 2.36%,BLACK DAIMOND,56.6,$45, 1.34,141,27,Real, 48%
5.75, 0.02%,66.9%,3.58%,https://www.signalstart.com/analysis/upscale-signals-eurusd/107154, 0.61%,Upscale Signals EURUSD,523.7,$150, 1.14,433,115,Real, 77%
0.41, 0.22%,5.1%,2.65%,https://www.signalstart.com/analysis/kabbalah/141447, 2.65%,Kabbalah,255.8,$30, 0,-,14,Real, 100%
1.23, 0.07%,12.1%,2.77%,https://www.signalstart.com/analysis/gold-trader-ii/130842, 2.21%,Gold Trader II,"-3,390",$35, 1.04,228,79,Real, 76%
1.1, 0.07%,8.4%,2.29%,https://www.signalstart.com/analysis/serious-business/130891, 2.05%,Serious Business,-477.1,$40, 1.1,203,112,Real, 38%
0.47, 0.16%,5.4%,2.2%,https://www.signalstart.com/analysis/ava10k/144254, 2.20%,AVA10K,238.7,$30, 1.24,181,55,Real, 67%
0.11, 0.61%,1.4%,1.83%,https://www.signalstart.com/analysis/market-maker-map/146249, 1.83%,Market Maker Map,457.6,$75, 4.67,-,17,Real, 82%
2.95, 0.01%,32.6%,1.15%,https://www.signalstart.com/analysis/huat83/107896, 0.38%,Huat83,506.2,$30, 1.01,321,166,Real, 63%
1.69, 0.02%,10.7%,1.12%,https://www.signalstart.com/analysis/echo-trade-copier-fx/121154, 0.65%,Echo Trade Copier FX,"7,035",$59, 1.02,226,395,Real, 43%
0.28, 0.26%,2.5%,2.13%,https://www.signalstart.com/analysis/galaxy-signals/142245, 2.13%,Galaxy Signals,"1,756.4",$70, 1.28,163,65,Real, 51%
0.93, 0.03%,25.2%,0.97%,https://www.signalstart.com/analysis/yes23-zenix/131549, 0.97%,YES23 ZENIX,289,$30, 1.04,284,70,Real, 73%
41.0, 0.00%,41.5%,1.01%,https://www.signalstart.com/analysis/gkfx-2/24174, 0.02%,GKFX 2,943.3,$30, 1,380,1975,Real, 47%
1.95, 0.02%,27.5%,0.97%,https://www.signalstart.com/analysis/energia-dinamica/118018, 0.49%,ENERGIA DINAMICA,"1,065.5",$39, 1.01,302,134,Real, 46%
5.2, 0.01%,14.1%,0.89%,https://www.signalstart.com/analysis/tfx-signals/85531, 0.17%,TFX Signals,179,$90, 1.01,220,182,Real, 60%
1.85, 0.01%,42.2%,0.46%,https://www.signalstart.com/analysis/fxraida/121805, 0.25%,FXRaida,-16.6,$30, 1.01,362,141,Real, 89%
1.13, 0.01%,8.2%,0.34%,https://www.signalstart.com/analysis/hk50-surf/128917, 0.30%,HK50 SURF,74,$39, 19,112,4,Real, 75%
1.02, 0.01%,0.7%,0.27%,https://www.signalstart.com/analysis/morgan-park/130653, 0.26%,MORGAN PARK,"1,586.6",$30, 3.96,93,82,Real, 80%
17.0, 0.00%,98.5%,-0.26%,https://www.signalstart.com/analysis/miser041-wt/74373, -0.01%,Miser041 wt,"4,515.5",$47, 1.28,-,2651,Real, 74%
0.61, -0.03%,3.6%,-0.6%,https://www.signalstart.com/analysis/easytrade/138563, -0.60%,easytrade,199.2,$55, 0.84,-,19,Real, 84%
